Período;ARS;ACES;Localização Geográfica;Sexo;Faixa Etária;Nº Utentes;ID
2018-10;Norte;Entre Douro e Vouga I - Feira/Arouca;40.9263169,-8.5478813;Masculino;<20;36;2018-10/<20/Masculino/Entre Douro e Vouga I - Feira/Arouca
2018-10;Norte;Entre Douro e Vouga I - Feira/Arouca;40.9263169,-8.5478813;Masculino;35-49;81;2018-10/35-49/Masculino/Entre Douro e Vouga I - Feira/Arouca
2018-10;Norte;Entre Douro e Vouga I - Feira/Arouca;40.9263169,-8.5478813;Masculino;50-64;146;2018-10/50-64/Masculino/Entre Douro e Vouga I - Feira/Arouca
2018-10;Norte;Entre Douro e Vouga I - Feira/Arouca;40.9263169,-8.5478813;Feminino;20-34;80;2018-10/20-34/Feminino/Entre Douro e Vouga I - Feira/Arouca
2018-10;Norte;Entre Douro e Vouga I - Feira/Arouca;40.9263169,-8.5478813;Feminino;35-49;135;2018-10/35-49/Feminino/Entre Douro e Vouga I - Feira/Arouca
2018-10;Norte;Entre Douro e Vouga I - Feira/Arouca;40.9263169,-8.5478813;Feminino;65 e +;124;2018-10/65 e +/Feminino/Entre Douro e Vouga I - Feira/Arouca
2018-10;Norte;ULS de Matosinhos;41.1918541,-8.6590693;Masculino;<20;60;2018-10/<20/Masculino/ULS de Matosinhos
2018-10;Centro;Baixo Vouga;40.6405055,-8.6537539;Masculino;65 e +;39;2018-10/65 e +/Masculino/Baixo Vouga
2018-10;Centro;Beira Interior Sul;39.8211367,-7.5036651;Masculino;50-64;26;2018-10/50-64/Masculino/Beira Interior Sul
2018-10;Centro;Beira Interior Sul;39.8211367,-7.5036651;Masculino;65 e +;26;2018-10/65 e +/Masculino/Beira Interior Sul
2018-10;Centro;Beira Interior Sul;39.8211367,-7.5036651;Feminino;<20;36;2018-10/<20/Feminino/Beira Interior Sul
2018-10;Centro;Dão e Lafões;40.6565861,-7.9124712;Masculino;35-49;55;2018-10/35-49/Masculino/Dão e Lafões
2018-10;Centro;Dão e Lafões;40.6565861,-7.9124712;Feminino;65 e +;181;2018-10/65 e +/Feminino/Dão e Lafões
2018-10;Lisboa e Vale do Tejo;Lisboa Central;38.7306317,-9.1510414;Masculino;50-64;310;2018-10/50-64/Masculino/Lisboa Central
2018-10;Lisboa e Vale do Tejo;Lisboa Central;38.7306317,-9.1510414;Feminino;35-49;305;2018-10/35-49/Feminino/Lisboa Central
2018-10;Lisboa e Vale do Tejo;Lisboa Central;38.7306317,-9.1510414;Feminino;65 e +;462;2018-10/65 e +/Feminino/Lisboa Central
2018-10;Lisboa e Vale do Tejo;Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;Feminino;20-34;25;2018-10/20-34/Feminino/Lisboa Ocidental e Oeiras
2018-10;Lisboa e Vale do Tejo;Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;Feminino;50-64;43;2018-10/50-64/Feminino/Lisboa Ocidental e Oeiras
2018-10;Lisboa e Vale do Tejo;Loures-Odivelas;38.8012718,-9.1137868;Masculino;<20;126;2018-10/<20/Masculino/Loures-Odivelas
2018-10;Lisboa e Vale do Tejo;Loures-Odivelas;38.8012718,-9.1137868;Masculino;20-34;31;2018-10/20-34/Masculino/Loures-Odivelas
2018-10;Lisboa e Vale do Tejo;Amadora;38.7573081,-9.23429;Feminino;20-34;17;2018-10/20-34/Feminino/Amadora
2018-10;Lisboa e Vale do Tejo;Amadora;38.7573081,-9.23429;Feminino;35-49;39;2018-10/35-49/Feminino/Amadora
2018-10;Lisboa e Vale do Tejo;Amadora;38.7573081,-9.23429;Feminino;65 e +;161;2018-10/65 e +/Feminino/Amadora
